Any;mes;dia;C_HORA_TRUCADA;D_COORD_GEO_IMPACTE
2014;9;24;99;29265260 81253850
2014;1;28;99;77
2014;9;26;99;77
2013;4;7;99;27157078 81269109
2013;3;2;99;31645460 87035506
2013;4;9;99;27332748 83944876
2014;1;24;99;32369593 85713254
2013;3;26;99;26779165 82346634
2014;8;10;99;34135963 85261111
2013;2;4;17,35;25592604 81888747
2013;7;22;99;77
2014;11;29;99;77
2014;9;8;99;77
2014;9;20;99;28715443 82939468
2014;10;28;99;29005285 84607140
2014;3;5;99;27754419 79924234
2013;8;31;99;31467162 84368044
2014;11;24;99;29724017 82854791
2014;10;26;99;34549970 84150730
2013;1;13;99;77
2014;12;28;99;77
2014;11;8;99;26787832 84617705
2014;3;17;99;77
2014;9;24;99;28612967 81386589
2014;10;13;99;26908532 83919270
2013;9;27;99;77
2014;12;28;99;32728723 88916680
2014;10;2;99;29917518 81900798
2013;3;19;99;29838061 82397486
2013;11;14;99;77
2014;5;28;99;32743203 82464763
2013;5;18;99;33236918 85167037
2013;5;15;99;31718555 90686135
2014;3;28;99;77
2014;1;24;99;25851476 81993040
2013;11;9;99;77
2013;12;2;99;29769500 82332815
2014;7;15;99;30324799 84198089
2014;2;26;99;27307000 81013201
2013;6;23;99;27306701 82951570
2013;6;23;99;77
2014;3;30;99;33045792 88993234
2014;7;11;99;30653649 82694760
2014;2;3;99;77
2014;10;6;99;77
2013;12;16;99;27284019 81327817
2014;10;10;99;28417626 82139261
2013;3;26;99;32951104 82420946
2013;4;3;99;27600587 82592829
2013;11;1;99;32957746 87623721
2014;5;25;99;30008632 84109214
2013;2;17;99;29961169 80934892
2013;2;30;99;31059129 84222811
2013;2;13;99;28846828 80857942
2013;5;27;99;30781590 82749500
2013;12;8;99;29841174 82777747
2014;4;26;99;427336.116, 4578325.131
2014;1;18;99;32115652 84635096
2013;7;27;99;33120950 82872189
2013;12;12;99;26427502 84299276
2013;12;26;99;28064827 84954442
2014;8;13;99;31170090 81254745
2013;7;5;99;77
2013;5;10;99;29577914 88168043
2014;5;30;99;33627899 85019639
2014;2;26;99;77
2013;1;15;99;29059828 84388099
2013;10;10;99;77
2013;6;17;99;26809464 81445607
2014;5;3;99;29660407 82232142
2014;7;1;99;31901475 88860933
2014;1;20;99;26861304 80801681
2013;1;4;99;32783469 82226674
2014;10;28;99;26573093 76985742
2013;8;14;99;28222320 81936086
2013;3;18;99;77
2013;9;28;99;32577357 81423495
2013;5;5;99;424879.296, 4580003.924
2014;10;18;99;30172129 87366884
2014;5;24;99;25551983 82735157
2013;8;30;99;77
2013;5;5;99;25684232 82689739
2014;6;8;99;28901072 81815333
2014;6;27;18;29344589 81727622
2013;12;18;99;27324447 82934180
2014;8;16;99;31541670 81797868
2013;12;7;99;29684181 81775464
2014;6;7;99;77
2014;5;11;99;28971286 83040093
2014;9;10;99;77
2014;6;22;99;425151.108, 4579978.076
2014;5;13;99;30152293 84223559
2013;1;26;99;28733929 87299207
2013;3;1;99;34129743 86196365
2014;4;17;99;27999296 82431639
2013;2;15;99;77
2014;9;31;99;33767465 88479399
2013;7;2;99;77
2013;6;9;99;29832635 82409571
2013;10;19;99;31927538 86514563
2014;6;3;99;29205029 82909123
2013;4;30;99;29996732 81772163
2013;9;26;99;29583043 82644748
2014;5;10;99;77
2013;3;21;99;27808626 83486593
2014;6;15;99;31958203 86152059
2013;12;27;99;33842514 84417245
2013;3;14;99;29733973 82671218
2013;5;15;99;29780733 86883987
2014;5;3;99;28603896 83715076
2014;2;7;99;77
2013;8;2;99;29957563 78881146
2013;10;8;99;31072727 83239833
2014;4;3;99;28849815 81111694
2013;2;20;99;32277644 89018483
2014;4;18;99;31315331 85966261
2013;12;29;99;30482204 85116067
2013;11;13;99;77
2013;2;11;99;425816.506, 4581064.394
2014;8;22;99;30319124 82288442
2014;12;1;99;28737452 78023889
2014;3;6;99;30022213 81995704
2014;9;7;99;77
2013;7;30;99;30267929 83473468
2014;4;26;99;30821198 82715542
2014;6;6;99;27988057 83567022
2013;5;12;99;28049441 79365684
2013;12;26;99;31279390 82056673
2013;11;17;99;77
